Time, cpi, debt, gdp, gold, labour, party, election, petrol, unemploy
1/3/2000,2.0,5628.7,10031.0,#N/A,142267,0,1,1.312,4
1/4/2000,2.0,5628.7,10031.0,282.05,142267,0,1,1.312,4
1/5/2000,2.0,5628.7,10031.0,282.1,142267,0,1,1.312,4
1/6/2000,2.0,5628.7,10031.0,280.35,142267,0,1,1.312,4
1/7/2000,2.0,5628.7,10031.0,282,142267,0,1,1.312,4
1/10/2000,2.0,5628.7,10031.0,281.7,142267,0,1,1.304,4
1/11/2000,2.0,5628.7,10031.0,281.7,142267,0,1,1.304,4
1/12/2000,2.0,5628.7,10031.0,282.25,142267,0,1,1.304,4
1/13/2000,2.0,5628.7,10031.0,282.2,142267,0,1,1.304,4
1/14/2000,2.0,5628.7,10031.0,284.15,142267,0,1,1.304,4
1/18/2000,2.0,5628.7,10031.0,286.85,142267,0,1,1.318,4
1/19/2000,2.0,5628.7,10031.0,288.75,142267,0,1,1.318,4
1/20/2000,2.0,5628.7,10031.0,288.35,142267,0,1,1.318,4
1/21/2000,2.0,5628.7,10031.0,287.7,142267,0,1,1.318,4
1/24/2000,2.0,5628.7,10031.0,287.45,142267,0,1,1.354,4
1/25/2000,2.0,5628.7,10031.0,288.7,142267,0,1,1.354,4
1/26/2000,2.0,5628.7,10031.0,284.9,142267,0,1,1.354,4
1/27/2000,2.0,5628.7,10031.0,286.5,142267,0,1,1.354,4
1/28/2000,2.0,5628.7,10031.0,286.15,142267,0,1,1.354,4
1/31/2000,2.0,5628.7,10031.0,283.05,142267,0,1,1.355,4
2/1/2000,2.2,5628.7,10031.0,283.65,142456,0,1,1.355,4.1
2/2/2000,2.2,5628.7,10031.0,283.1,142456,0,1,1.355,4.1
2/3/2000,2.2,5628.7,10031.0,285.25,142456,0,1,1.355,4.1
2/4/2000,2.2,5628.7,10031.0,287.5,142456,0,1,1.355,4.1
2/7/2000,2.2,5628.7,10031.0,316.6,142456,0,1,1.364,4.1
2/8/2000,2.2,5628.7,10031.0,303.15,142456,0,1,1.364,4.1
2/9/2000,2.2,5628.7,10031.0,306,142456,0,1,1.364,4.1
2/10/2000,2.2,5628.7,10031.0,311.25,142456,0,1,1.364,4.1
2/11/2000,2.2,5628.7,10031.0,316.5,142456,0,1,1.364,4.1
2/14/2000,2.2,5628.7,10031.0,308.75,142456,0,1,1.394,4.1
2/15/2000,2.2,5628.7,10031.0,307,142456,0,1,1.394,4.1
2/16/2000,2.2,5628.7,10031.0,300.5,142456,0,1,1.394,4.1
2/17/2000,2.2,5628.7,10031.0,306.25,142456,0,1,1.394,4.1
2/18/2000,2.2,5628.7,10031.0,302.25,142456,0,1,1.394,4.1
2/22/2000,2.2,5628.7,10031.0,305.4,142456,0,1,1.443,4.1
2/23/2000,2.2,5628.7,10031.0,305.25,142456,0,1,1.443,4.1
2/24/2000,2.2,5628.7,10031.0,299.9,142456,0,1,1.443,4.1
2/25/2000,2.2,5628.7,10031.0,297.15,142456,0,1,1.443,4.1
2/28/2000,2.2,5628.7,10031.0,292.75,142456,0,1,1.458,4.1
2/29/2000,2.2,5628.7,10031.0,294,142456,0,1,1.458,4.1
3/1/2000,2.4,5628.7,10031.0,293.75,142434,0,1,1.458,4
3/2/2000,2.4,5628.7,10031.0,289,142434,0,1,1.458,4
3/3/2000,2.4,5628.7,10031.0,289.3,142434,0,1,1.458,4
3/6/2000,2.4,5628.7,10031.0,289.25,142434,0,1,1.539,4
3/7/2000,2.4,5628.7,10031.0,288.35,142434,0,1,1.539,4
3/8/2000,2.4,5628.7,10031.0,292.75,142434,0,1,1.539,4
3/9/2000,2.4,5628.7,10031.0,289,142434,0,1,1.539,4
3/10/2000,2.4,5628.7,10031.0,292.1,142434,0,1,1.539,4
3/13/2000,2.4,5628.7,10031.0,289.65,142434,0,1,1.566,4
3/14/2000,2.4,5628.7,10031.0,290.3,142434,0,1,1.566,4
